source,target,start_time,close_time,ppl_in_team,team_initiator,match_id,team_id,match_type
539427633,780010319,1431705600,1431792000,5,780010319,11,19,3
539427633,847471356,1431705600,1431792000,5,780010319,11,19,3
539427633,847587187,1431705600,1431792000,5,780010319,11,19,3
539427633,849974266,1431705600,1431792000,5,780010319,11,19,3
780010319,847471356,1431705600,1431792000,5,780010319,11,19,3
780010319,847587187,1431705600,1431792000,5,780010319,11,19,3
780010319,849974266,1431705600,1431792000,5,780010319,11,19,3
847471356,847587187,1431705600,1431792000,5,780010319,11,19,3
847471356,849974266,1431705600,1431792000,5,780010319,11,19,3
847587187,849974266,1431705600,1431792000,5,780010319,11,19,3
847770959,847863493,1431705600,1431792000,5,872839787,11,20,3
847770959,847863843,1431705600,1431792000,5,872839787,11,20,3
847770959,849308535,1431705600,1431792000,5,872839787,11,20,3
847770959,872839787,1431705600,1431792000,5,872839787,11,20,3
847863493,847863843,1431705600,1431792000,5,872839787,11,20,3
847863493,849308535,1431705600,1431792000,5,872839787,11,20,3
847863493,872839787,1431705600,1431792000,5,872839787,11,20,3
847863843,849308535,1431705600,1431792000,5,872839787,11,20,3
847863843,872839787,1431705600,1431792000,5,872839787,11,20,3
849308535,872839787,1431705600,1431792000,5,872839787,11,20,3
31130127,92352363,1431705600,1431792000,5,824403767,11,21,3
31130127,824403767,1431705600,1431792000,5,824403767,11,21,3
31130127,847592333,1431705600,1431792000,5,824403767,11,21,3
31130127,850191387,1431705600,1431792000,5,824403767,11,21,3
92352363,824403767,1431705600,1431792000,5,824403767,11,21,3
92352363,847592333,1431705600,1431792000,5,824403767,11,21,3
92352363,850191387,1431705600,1431792000,5,824403767,11,21,3
824403767,847592333,1431705600,1431792000,5,824403767,11,21,3
824403767,850191387,1431705600,1431792000,5,824403767,11,21,3
847592333,850191387,1431705600,1431792000,5,824403767,11,21,3
4432761,284600529,1431705600,1431792000,5,849647282,11,28,3
4432761,849196390,1431705600,1431792000,5,849647282,11,28,3
4432761,849647282,1431705600,1431792000,5,849647282,11,28,3
284600529,849196390,1431705600,1431792000,5,849647282,11,28,3
284600529,849647282,1431705600,1431792000,5,849647282,11,28,3
849196390,849647282,1431705600,1431792000,5,849647282,11,28,3
91405489,258516456,1431705600,1431792000,5,91405489,11,37,3
91405489,711084521,1431705600,1431792000,5,91405489,11,37,3
91405489,861621438,1431705600,1431792000,5,91405489,11,37,3
91405489,865532653,1431705600,1431792000,5,91405489,11,37,3
258516456,711084521,1431705600,1431792000,5,91405489,11,37,3
258516456,861621438,1431705600,1431792000,5,91405489,11,37,3
258516456,865532653,1431705600,1431792000,5,91405489,11,37,3
711084521,861621438,1431705600,1431792000,5,91405489,11,37,3
711084521,865532653,1431705600,1431792000,5,91405489,11,37,3
861621438,865532653,1431705600,1431792000,5,91405489,11,37,3
824403767,847471356,1431878400,1432396800,5,824403767,13,29,3
824403767,849974266,1431878400,1432396800,5,824403767,13,29,3
824403767,850191387,1431878400,1432396800,5,824403767,13,29,3
847471356,849974266,1431878400,1432396800,5,824403767,13,29,3
847471356,850191387,1431878400,1432396800,5,824403767,13,29,3
849974266,850191387,1431878400,1432396800,5,824403767,13,29,3
847471356,849974266,1432051200,1432569600,3,847471356,16,35,3
847471356,867577243,1432051200,1432569600,3,847471356,16,35,3
849974266,867577243,1432051200,1432569600,3,847471356,16,35,3
864101616,867221523,1432051200,1432569600,3,864101616,16,36,3
864101616,867566960,1432051200,1432569600,3,864101616,16,36,3
867221523,867566960,1432051200,1432569600,3,864101616,16,36,3
850770238,864021199,1432137600,1432569600,3,864021199,21,52,3
850770238,867983916,1432137600,1432569600,3,864021199,21,52,3
864021199,867983916,1432137600,1432569600,3,864021199,21,52,3
864101616,868202999,1432137600,1432569600,3,864101616,21,54,3
31130127,824403767,1432137600,1432569600,3,824403767,21,55,3
31130127,849974266,1432137600,1432569600,3,824403767,21,55,3
824403767,849974266,1432137600,1432569600,3,824403767,21,55,3
92352363,824403767,1432310400,1432483199,4,824403767,19,47,3
92352363,850191387,1432310400,1432483199,4,824403767,19,47,3
824403767,850191387,1432310400,1432483199,4,824403767,19,47,3
847471356,847587187,1432310400,1432483199,4,847471356,19,49,3
847471356,847863843,1432310400,1432483199,4,847471356,19,49,3
847471356,849974266,1432310400,1432483199,4,847471356,19,49,3
847587187,847863843,1432310400,1432483199,4,847471356,19,49,3
847587187,849974266,1432310400,1432483199,4,847471356,19,49,3
847863843,849974266,1432310400,1432483199,4,847471356,19,49,3
91405489,850124117,1432310400,1432483199,4,91405489,19,50,3
91405489,865532653,1432310400,1432483199,4,91405489,19,50,3
91405489,867695223,1432310400,1432483199,4,91405489,19,50,3
850124117,865532653,1432310400,1432483199,4,91405489,19,50,3
850124117,867695223,1432310400,1432483199,4,91405489,19,50,3
865532653,867695223,1432310400,1432483199,4,91405489,19,50,3
31130127,850770238,1432310400,1432483199,4,872839787,19,53,3
31130127,856007818,1432310400,1432483199,4,872839787,19,53,3
31130127,872839787,1432310400,1432483199,4,872839787,19,53,3
850770238,856007818,1432310400,1432483199,4,872839787,19,53,3
850770238,872839787,1432310400,1432483199,4,872839787,19,53,3
856007818,872839787,1432310400,1432483199,4,872839787,19,53,3
516151065,847863493,1432310400,1432483199,4,847863493,19,56,3
516151065,867221523,1432310400,1432483199,4,847863493,19,56,3
847863493,867221523,1432310400,1432483199,4,847863493,19,56,3
862226952,864101616,1432310400,1432483199,4,872839787,19,59,3
862226952,872839787,1432310400,1432483199,4,872839787,19,59,3
864101616,872839787,1432310400,1432483199,4,872839787,19,59,3
284600529,849622166,1432310400,1432483199,4,849629401,19,63,3
284600529,849629401,1432310400,1432483199,4,849629401,19,63,3
284600529,867843299,1432310400,1432483199,4,849629401,19,63,3
849622166,849629401,1432310400,1432483199,4,849629401,19,63,3
849622166,867843299,1432310400,1432483199,4,849629401,19,63,3
849629401,867843299,1432310400,1432483199,4,849629401,19,63,3
824403767,849974266,1432483200,1433087999,3,824403767,22,58,3
824403767,850191387,1432483200,1433087999,3,824403767,22,58,3
849974266,850191387,1432483200,1433087999,3,824403767,22,58,3
31130127,850208682,1432483200,1433087999,3,864101616,22,60,3
31130127,864101616,1432483200,1433087999,3,864101616,22,60,3
850208682,864101616,1432483200,1433087999,3,864101616,22,60,3
849622166,849629401,1432483200,1433087999,3,849629401,22,62,3
849622166,867843299,1432483200,1433087999,3,849629401,22,62,3
849629401,867843299,1432483200,1433087999,3,849629401,22,62,3
344818987,678962519,1432483200,1433087999,3,847471356,22,64,3
344818987,847471356,1432483200,1433087999,3,847471356,22,64,3
678962519,847471356,1432483200,1433087999,3,847471356,22,64,3
868201573,872839787,1432483200,1433087999,3,872839787,22,65,3
847471356,849974266,1432569600,1433088000,3,847471356,25,68,3
4432761,284600529,1432569600,1433088000,3,849196390,25,69,3
4432761,849196390,1432569600,1433088000,3,849196390,25,69,3
284600529,849196390,1432569600,1433088000,3,849196390,25,69,3
11499705,38719406,1432569600,1432915200,3,38719406,26,72,3
824403767,850191387,1432569600,1432915200,3,824403767,26,74,3
824403767,864101616,1432569600,1432915200,3,824403767,26,74,3
850191387,864101616,1432569600,1432915200,3,824403767,26,74,3
91405489,850124117,1432569600,1432915200,3,91405489,26,75,3
91405489,865532653,1432569600,1432915200,3,91405489,26,75,3
850124117,865532653,1432569600,1432915200,3,91405489,26,75,3
824403767,850191387,1432569600,1433088000,3,824403767,25,76,3
